Nome,codigo,carga horaria,creditos
Cálculo 1,CAL1,80,4
Probabilidade e Estatística,PRES,80,4
Fundamentos de Sistemas de Informação,FSIN,80,4
Inglês Instrumental,INGI,40,2
Lógica Matemática,LOGM,40,2
Tecnologias Web,TWEB,80,4
Metodologia do Trabalho Científico,MTC,80,4
Metodologia do Trabalho Científico,MTC,40,2
Introdução à Administração,INTA,80,4
Lógica e Linguagem de Programação,LLPR,120,6
Arquitetura de Computadores,ARQC,80,4
Redes de Computadores I,REDC1,80,4
Programação Estruturada e Estrutura de Dados,PEED,80,4
Gerência de Redes,GERE,80,4
Banco de Dados I,BD1,80,4
Introdução à Contabilidade e Finanças,ICF,80,4
Sistemas Operacionais,SOP,80,4
Sociologia Aplicada a Ética Profissional,SAEP,40,2
Design e Multimídia,DEM,40,2
Processamento Digital de Imagens,PDI,80,4
Programação Orientada a Objetos,POO,80,4
Sistemas Distribuídos,SDIS,80,4
Construção e Análise de Algoritmos,CAA,80,4
Banco de Dados II,BD2,80,4
Engenharia de Software,ENGS,80,4
Interface Homem-Computador,IHC,80,4
Gerência de Projetos,GERP,40,2
Legislação e Informática,LINF,40,2
Programação Web I,PWEB1,80,4
Comércio Eletrônico,COME,40,2
Análise e Projeto de Sistemas,APSI,80,4
Marketing,MKT,40,2
Projeto Integrador I,PRINT 1,80,4
Programação Web II,PEWB 2,80,4
Redes de Computadores II,REDC2,80,4
Laboratório e Desenvolvimento de Sistemas,LDS,80,4
Governança de Tecnologia da Informação,GOTI,80,4
Inteligência Computacional,ICOM,80,4
Projeto Integrador II,PRINT 2,80,4
Sistemas de Apoio a Decisão,SAD,80,4
Auditoria e Segurança de Sistemas de Informação,ASSI,40,2
Programação para Dispositivos Móveis,PDM,80,4
Empreendedorismo,EMP,40,2
Introdução ao Desenvolvimento de Jogos Digitais,IDJD,80,4
Responsabilidade Social e Ambiental,RSA,40,2
Trabalho de Conclusão de Curso,TCC,40,2
Álgebra Linear,ALGL,80,4
Libras,LBR,80,4
Libras,LBR,40,2
Engenharia de Vendas e Negócios de Informática,EVNI,80,4
Computação Gráfica,CMP,80,4
Gerenciamento de Projetos em Softwares Livres,GPSL,80,4
Higiene e Segurança do Trabalho,HST,80,4
Higiene e Segurança do Trabalho,HSTR,40,2
Química Geral e Experimental,QGEX,40,2
Introdução a Engenharia Elétrica,INEE,40,2
Álgebra Vetorial,ALVE,80,4
Lógica de Programação,LOPR,80,4
Desenho Técnico,DTEC,40,2
Desenho Técnico,DTEC,80,4
Cálculo 2,CAL2,80,4
Física 1,FIS1,80,4
Eletrônica Digital,ELED,80,4
Cálculo 3,CAL3,80,4
Física 2,FIS2,80,4
Materiais Elétricos e Magnéticos,MAEM,80,4
Sistemas Microprocessados,SMIC,80,4
Equações Diferenciais,EDIF,80,4
Cálculo Numérico,CALN,80,4
Física 3,FIS3,80,4
Variáveis Complexas,VACO,80,4
Circuitos Elétricos,CIEL1,80,4
Resistência dos Materiais,REMA,80,4
Circuitos Elétricos 2,ENGS,80,4
