turnId,code,disciplineId,userId,hourId,dayId,calendarID
4,2025.1 - IET - S2,446,90,13,1,1
4,2025.1 - IET - S2,446,90,14,1,1
4,2025.1 - IET - S2,320,99,15,1,1
4,2025.1 - IET - S2,320,99,16,1,1
4,2025.1 - IET - S2,316,22,13,2,1
4,2025.1 - IET - S2,316,22,14,2,1
4,2025.1 - IET - S2,457,104,15,2,1
4,2025.1 - IET - S2,326,58,16,2,1
4,2025.1 - IET - S2,322,97,13,3,1
4,2025.1 - IET - S2,197,52,14,3,1
4,2025.1 - IET - S2,197,52,15,3,1
4,2025.1 - IET - S2,319,68,16,4,1
4,2025.1 - IET - S2,324,50,15,4,1
4,2025.1 - IET - S2,324,50,16,4,1
4,2025.1 - IET - S2,313,87,13,5,1
4,2025.1 - IET - S2,313,87,14,5,1
4,2025.1 - IET - S2,324,50,15,5,1
4,2025.1 - IET - S2,323,34,16,5,1
4,2024.1 - IET - S4,177,57,13,1,1
4,2024.1 - IET - S4,177,57,14,1,1
4,2024.1 - IET - S4,394,27,15,1,1
4,2024.1 - IET - S4,394,27,16,1,1
4,2024.1 - IET - S4,357,58,13,2,1
4,2024.1 - IET - S4,350,38,14,2,1
4,2024.1 - IET - S4,414,79,15,2,1
4,2024.1 - IET - S4,414,79,16,2,1
4,2024.1 - IET - S4,341,97,14,3,1
4,2024.1 - IET - S4,347,108,15,3,1
4,2024.1 - IET - S4,347,108,16,3,1
4,2024.1 - IET - S4,354,103,13,4,1
4,2024.1 - IET - S4,354,103,14,4,1
4,2024.1 - IET - S4,355,65,15,4,1
4,2024.1 - IET - S4,355,65,16,4,1
4,2024.1 - IET - S4,63,51,13,5,1
4,2024.1 - IET - S4,63,51,14,5,1
4,2024.1 - IET - S4,355,65,15,5,1
4,2024.1 - IET - S4,354,103,16,5,1
4,2023.1 - IET - S6,372,27,13,1,1
4,2023.1 - IET - S6,372,27,14,1,1
4,2023.1 - IET - S6,439,61,15,1,1
4,2023.1 - IET - S6,361,104,16,1,1
4,2023.1 - IET - S6,439,61,13,2,1
4,2023.1 - IET - S6,439,61,14,2,1
4,2023.1 - IET - S6,373,38,15,2,1
4,2023.1 - IET - S6,419,85,13,3,1
4,2023.1 - IET - S6,419,85,14,3,1
4,2023.1 - IET - S6,376,25,15,3,1
4,2023.1 - IET - S6,376,25,16,3,1
4,2023.1 - IET - S6,381,53,13,4,1
4,2023.1 - IET - S6,381,53,14,4,1
4,2023.1 - IET - S6,383,39,15,4,1
4,2023.1 - IET - S6,383,39,16,4,1
4,2023.1 - IET - S6,381,53,13,5,1
4,2023.1 - IET - S6,381,53,14,5,1
4,2023.1 - IET - S6,422,77,15,5,1
