code,disciplineId,userId,dayId,hourId,turnId,calendarID
2025.1 - IET - S2,123,90,1,1,1,1
2024.1 - IET - S4,177,57,1,1,1,1
2023.1 - IET - S6,372,27,1,1,1,1
2025.1 - IIF - S2,320,95,1,1,1,1
2024.1 - IIF - S4,393,105,1,1,1,1
2023.1 - IIF - S6 - A,372,99,1,1,1,1
2023.1 - IIF - S6 - B,373,38,1,1,1,1
2025.1 - IMI - S2,326,58,1,1,1,1
2024.1 - IMI - S4,398,29,1,1,1,1
2023.1 - IMI - S6,405,48,1,1,1,1
2025.2 - BEM - S1,120,97,1,1,1,1
2024.2 - BEM - S3,128,104,1,1,1,1
2025.1 - LMT - S2,4,67,1,1,1,1
2025.1 - BEE - S2,63,79,1,1,1,1
2025.1 - IET - S2,123,90,1,2,1,1
2024.1 - IET - S4,177,57,1,2,1,1
2023.1 - IET - S6,372,27,1,2,1,1
2025.1 - IIF - S2,320,95,1,2,1,1
2024.1 - IIF - S4,393,105,1,2,1,1
2023.1 - IIF - S6 - A,372,99,1,2,1,1
2023.1 - IIF - S6 - B,371,69,1,2,1,1
2025.1 - IMI - S2,321,38,1,2,1,1
2024.1 - IMI - S4,398,29,1,2,1,1
2023.1 - IMI - S6,405,48,1,2,1,1
2025.2 - BEM - S1,120,97,1,2,1,1
2024.2 - BEM - S3,128,104,1,2,1,1
2025.1 - LMT - S2,4,67,1,2,1,1
2025.1 - BEE - S2,63,79,1,2,1,1
2025.1 - IET - S2,320,99,1,3,1,1
2024.1 - IET - S4,349,27,1,3,1,1
2023.1 - IET - S6,56,61,1,3,1,1
2025.1 - IIF - S2,6,105,1,3,1,1
2024.1 - IIF - S4,340,67,1,3,1,1
2023.1 - IIF - S6 - A,373,38,1,3,1,1
2023.1 - IIF - S6 - B,374,97,1,3,1,1
2025.1 - IMI - S2,317,104,1,3,1,1
2023.1 - IMI - S6,404,90,1,3,1,1
2025.2 - BEM - S1,122,58,1,3,1,1
2024.2 - BEM - S3,64,55,1,3,1,1
2025.1 - LMT - S2,222,31,1,3,1,1
2025.1 - BEE - S2,47,73,1,3,1,1
2025.1 - IET - S2,320,99,1,4,1,1
2024.1 - IET - S4,349,27,1,4,1,1
2023.1 - IET - S6,361,104,1,4,1,1
2025.1 - IIF - S2,6,105,1,4,1,1
2024.1 - IIF - S4,340,67,1,4,1,1
2025.1 - IMI - S2,322,97,1,4,1,1
2024.1 - IMI - S4,350,38,1,4,1,1
2023.1 - IMI - S6,404,90,1,4,1,1
2025.2 - BEM - S1,122,58,1,4,1,1
2024.2 - BEM - S3,64,55,1,4,1,1
2025.1 - LMT - S2,222,31,1,4,1,1
2025.1 - BEE - S2,47,73,1,4,1,1
2025.1 - IET - S2,316,22,2,1,1,1
2024.1 - IET - S4,123,58,2,1,1,1
2023.1 - IET - S6,56,61,2,1,1,1
2025.1 - IIF - S2,317,104,2,1,1,1
2024.1 - IIF - S4,350,38,2,1,1,1
2023.1 - IIF - S6 - A,377,65,2,1,1,1
2023.1 - IIF - S6 - B,394,105,2,1,1,1
2025.1 - IMI - S2,123,60,2,1,1,1
2024.1 - IMI - S4,349,27,2,1,1,1
2023.1 - IMI - S6,191,20,2,1,1,1
2025.2 - BEM - S1,60,90,2,1,1,1
2024.2 - BEM - S3,127,81,2,1,1,1
2025.1 - LMT - S2,220,83,2,1,1,1
2025.1 - BEE - S2,61,91,2,1,1,1
2025.1 - IET - S2,316,22,2,2,1,1
2024.1 - IET - S4,350,38,2,2,1,1
2023.1 - IET - S6,56,61,2,2,1,1
2025.1 - IIF - S2,123,58,2,2,1,1
2024.1 - IIF - S4,352,97,2,2,1,1
2023.1 - IIF - S6 - A,377,65,2,2,1,1
2023.1 - IIF - S6 - B,394,105,2,2,1,1
2025.1 - IMI - S2,123,60,2,2,1,1
2024.1 - IMI - S4,349,27,2,2,1,1
2023.1 - IMI - S6,191,20,2,2,1,1
2025.2 - BEM - S1,60,90,2,2,1,1
2024.2 - BEM - S3,127,81,2,2,1,1
2025.1 - LMT - S2,220,83,2,2,1,1
2025.1 - BEE - S2,61,91,2,2,1,1
2025.1 - IET - S2,317,104,2,3,1,1
2024.1 - IET - S4,414,79,2,3,1,1
2023.1 - IET - S6,373,38,2,3,1,1
2025.1 - IIF - S2,316,22,2,3,1,1
2024.1 - IIF - S4,355,65,2,3,1,1
2023.1 - IIF - S6 - A,396,105,2,3,1,1
2023.1 - IIF - S6 - B,372,99,2,3,1,1
2025.1 - IMI - S2,320,27,2,3,1,1
2024.1 - IMI - S4,399,33,2,3,1,1
2023.1 - IMI - S6,374,97,2,3,1,1
2025.2 - BEM - S1,58,20,2,3,1,1
2024.2 - BEM - S3,129,41,2,3,1,1
2025.1 - LMT - S2,224,55,2,3,1,1
2025.1 - BEE - S2,47,73,2,3,1,1
2025.1 - IET - S2,123,58,2,4,1,1
2024.1 - IET - S4,414,79,2,4,1,1
2025.1 - IIF - S2,316,22,2,4,1,1
2024.1 - IIF - S4,355,65,2,4,1,1
2023.1 - IIF - S6 - A,396,105,2,4,1,1
2023.1 - IIF - S6 - B,372,99,2,4,1,1
2025.1 - IMI - S2,320,27,2,4,1,1
2024.1 - IMI - S4,399,33,2,4,1,1
2023.1 - IMI - S6,152,29,2,4,1,1
2025.2 - BEM - S1,58,20,2,4,1,1
2024.2 - BEM - S3,129,41,2,4,1,1
2025.1 - LMT - S2,224,55,2,4,1,1
2025.1 - BEE - S2,47,73,2,4,1,1
2025.1 - IET - S2,322,97,3,1,1,1
2024.1 - IET - S4,347,69,3,1,1,1
2023.1 - IET - S6,419,85,3,1,1,1
2025.1 - IIF - S2,389,89,3,1,1,1
2024.1 - IIF - S4,21,70,3,1,1,1
2023.1 - IIF - S6 - A,396,105,3,1,1,1
2023.1 - IIF - S6 - B,376,73,3,1,1,1
2025.1 - IMI - S2,21,67,3,1,1,1
2024.1 - IMI - S4,355,50,3,1,1,1
2023.1 - IMI - S6,152,29,3,1,1,1
2025.2 - BEM - S1,121,87,3,1,1,1
2024.2 - BEM - S3,64,55,3,1,1,1
