curso,semestre,disciplina,tipo
1,1,Cálculo 1,Obrigatória
1,1,Probabilidade e Estatística,Obrigatória
1,1,Fundamentos de Sistemas de Informação,Obrigatória
1,1,Inglês Instrumental,Obrigatória
1,1,Lógica Matemática,Obrigatória
1,1,Tecnologias Web,Obrigatória
1,2,Metodologia do Trabalho Científico,Obrigatória
1,2,Introdução à Administração,Obrigatória
1,2,Lógica e Linguagem de Programação,Obrigatória
1,2,Arquitetura de Computadores,Obrigatória
1,2,Redes de Computadores I,Obrigatória
1,3,Programação Estruturada e Estrutura de Dados,Obrigatória
1,3,Gerência de Redes,Obrigatória
1,3,Banco de Dados I,Obrigatória
1,3,Introdução à Contabilidade e Finanças,Obrigatória
1,3,Sistemas Operacionais,Obrigatória
1,4,Sociologia Aplicada a Ética Profissional,Obrigatória
1,4,Design e Multimídia,Obrigatória
1,4,Processamento Digital de Imagens,Obrigatória
1,4,Programação Orientada a Objetos,Obrigatória
1,4,Sistemas Distribuídos,Obrigatória
1,4,Construção e Análise de Algoritmos,Obrigatória
1,5,Banco de Dados II,Obrigatória
1,5,Engenharia de Software,Obrigatória
1,5,Interface Homem-Computador,Obrigatória
1,5,Gerência de Projetos,Obrigatória
1,5,Legislação e Informática,Obrigatória
1,5,Programação Web I,Obrigatória
1,6,Comércio Eletrônico,Obrigatória
1,6,Análise e Projeto de Sistemas,Obrigatória
1,6,Marketing,Obrigatória
1,6,Projeto Integrador I,Obrigatória
1,6,Programação Web II,Obrigatória
1,6,Redes de Computadores II,Obrigatória
1,7,Laboratório e Desenvolvimento de Sistemas,Obrigatória
1,7,Governança de Tecnologia da Informação,Obrigatória
1,7,Inteligência Computacional,Obrigatória
1,7,Projeto Integrador II,Obrigatória
1,7,Sistemas de Apoio a Decisão,Obrigatória
1,8,Auditoria e Segurança de Sistemas de Informação,Obrigatória
1,8,Programação para Dispositivos Móveis,Obrigatória
1,8,Empreendedorismo,Obrigatória
1,8,Introdução ao Desenvolvimento de Jogos Digitais,Obrigatória
1,8,Responsabilidade Social e Ambiental,Obrigatória
1,8,Trabalho de Conclusão de Curso,Obrigatória
1,8,Álgebra Linear,Optativa
1,6,Libras,Optativa
1,8,Engenharia de Vendas e Negócios de Informática,Optativa
1,8,Computação Gráfica,Optativa
1,8,Gerenciamento de Projetos em Softwares Livres,Optativa
1,8,Higiene e Segurança do Trabalho,Optativa
2,1,Cálculo 1,Obrigatória
2,1,Química Geral e Experimental,Obrigatória
2,1,Introdução a Engenharia Elétrica,Obrigatória
2,1,Álgebra Vetorial,Obrigatória
2,1,Lógica de Programação,Obrigatória
2,1,Metodologia do Trabalho Científico,Obrigatória
2,1,Desenho Técnico,Obrigatória
2,2,Cálculo 2,Obrigatória
2,2,Física 1,Obrigatória
2,2,Álgebra Linear,Obrigatória
2,2,Programação Orientada a Objetos,Obrigatória
2,2,Eletrônica Digital,Obrigatória
2,3,Cálculo 3,Obrigatória
2,3,Física 2,Obrigatória
2,3,Materiais Elétricos e Magnéticos,Obrigatória
2,3,Sistemas Microprocessados,Obrigatória
2,3,Equações Diferenciais,Obrigatória
2,4,Probabilidade e Estatística,Obrigatória
2,4,Cálculo Numérico,Obrigatória
2,4,Física 3,Obrigatória
2,4,Variáveis Complexas,Obrigatória
2,4,Circuitos Elétricos,Obrigatória
2,5,Resistência dos Materiais,Obrigatória
2,5,Circuitos Elétricos 2,Obrigatória
2,5,Análise de Sinais e Sistema Lineares,Obrigatória
2,5,Eletromagnetismo,Obrigatória
2,5,Eletrônica 1,Obrigatória
2,6,Sistemas de Comunicações,Obrigatória
2,6,Sistemas de Controle,Obrigatória
2,6,Conversão Eletromecânica de Energia,Obrigatória
2,6,Geração Transmissão e Distribuição de Energia Elétrica,Obrigatória
2,6,Eletrônica 2,Obrigatória
2,7,Sistemas Elétricos 1,Obrigatória
2,7,Instalações Elétricas,Obrigatória
2,7,Máquinas Elétricas 1,Obrigatória
2,7,Eletrônica de Potência 1,Obrigatória
2,8,Higiene e Segurança do Trabalho,Obrigatória
2,8,Fontes Alternativas e Renováveis de Energia,Obrigatória
2,8,Acionamento de Máquinas Elétricas,Obrigatória
2,8,Fenômenos de Transportes,Obrigatória
2,8,Máquinas Elétricas 2,Obrigatória
2,8,Transformadores,Obrigatória
2,8,Controle Digital,Obrigatória
2,8,Instrumentação Eletrônica,Obrigatória
2,8,Eletrônica de Potência II,Obrigatória
2,8,Sistemas de Automação Industrial I,Obrigatória
2,8,Sistema Elétrico II,Obrigatória
2,9,Inglês Instrumental,Obrigatória
2,9,Economia,Obrigatória
2,9,Projeto Social,Obrigatória
2,9,Gerência de Projetos,Obrigatória
2,9,Introdução ao Direito,Obrigatória
2,9,Subestações,Obrigatória
2,9,Equipamentos Elétricos,Obrigatória
2,9,Operação e Controle de Sistemas Elétricos de Potência,Obrigatória
2,9,Redes de Computadores,Obrigatória
2,9,Circuitos para Comunicação,Obrigatória
2,9,Processamento Digital de Sinais,Obrigatória
2,9,Inteligência Computacional,Obrigatória
2,9,Sistemas de Automação Industrial II,Obrigatória
2,10,Engenharia Econômica,Obrigatória
2,10,Engenharia Econômica,Obrigatória
2,10,Empreendedorismo,Obrigatória
2,10,Introdução à Administração,Obrigatória
2,10,Trabalho de Conclusão de Curso,Obrigatória
2,10,Proteção de Sistemas Elétricos,Obrigatória
2,10,Qualidade de Energia,Obrigatória
2,10,Técnicas de Alta Tensão,Obrigatória
2,10,Projeto de Circuitos Integrados,Obrigatória
2,10,Sistemas Embarcados,Obrigatória
2,10,Sistemas de Aquisição de Dados,Obrigatória
